Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Austria;1,53;1,67;1,52;1,65;1,91;2,43;3,23;4,06;4,16;4,28;4,48;4,56;4,68;4,7;4,55;4,65;4,78;4,92;4,93;4,75;4,29;4,03
Belgium;0,57;0,6;0,72;0,86;1,04;1,59;2,23;2,6;3,33;3,95;4,38;4,63;5,24;5,03;4,46;5,55;5,44;5,77;5,46;5,23;5,24;5,05
Bosnia Herzegovina;;;;;;;;;;;;;;;0;0;0;0,01;0,01;0,01;0,01;0,01
Bulgaria;0;0;0;0;0;0;0;0;0,02;0,01;0,04;0,06;0,07;0,11;0,2;0,27;0,35;0,4;1,57;1,82;1,83;1,82
Croatia;0;0;0;0;0;0,01;0,01;0,01;0,02;0,02;0,03;0,05;0,09;0,13;0,16;0,27;0,43;0,53;0,67;0,88;0,94;1,04
Cyprus;0;0;0;0;0;0;0;0;0,01;0,03;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,06
Czechia;0,52;0,52;0,5;0,49;0,71;0,73;0,92;1,2;1,45;1,85;2,16;2,7;3,37;4,06;4,66;4,79;4,76;4,97;4,83;5,03;5,41;5,58
Denmark;1,3;1,51;1,88;2,49;2,91;3,17;3,07;3,1;3,14;3,32;4,59;4,37;4,45;4,31;4,29;4,18;4,85;6,25;5,89;5,95;5,3;7,12
EU-27;30,11;31,9;36,8;43,16;52,76;61;69,86;78,43;88,09;97,24;111,47;118,98;132,87;139,13;144,3;149,41;151,16;153,71;155,65;159,9;158,3;166,6
Estonia;0,01;0,01;0,02;0,03;0,03;0,04;0,04;0,03;0,04;0,31;0,74;0,78;1;0,67;0,76;0,82;0,95;1,1;1,31;1,36;1,35;1,25
Finland;8,64;8,27;8,99;9,38;10,44;9,51;10,81;9,95;10,4;8,73;10,97;11,24;11,2;12,01;11,76;11,42;11,52;11,86;12,91;13,29;11,08;12,28
France;2,48;2,85;3,04;3,23;3,31;3,39;3,38;3,75;3,97;4,13;4,44;5,04;5,3;5,68;5,99;6,53;7,52;7,78;8,38;8,64;8,47;8,67
